aba	aba
ab	ab
ab'ad	abʔad
abad	abad
abadi	abadi
abadiah	abadiah
abadikan	abadikan
a'bah	aʔbah
abah	abah
abai	abai
abaian	abaian
abaikan	abaikan
abaimana	abaimana
abaka	abaka
abakus	abakus
abang	abaŋ
abangan	abaŋan
abangnya	abaŋɲa
abar	abar
abaran	abaran
abatoar	abatoar
abau	abau
abdas	abdas
abdi	abdi
abdikasi	abdikasi
abdomen	abdomen
abdominal	abdominal
abdu	abdu
abece	abetʃe
aben	aben
aberasi	abərasi
abet	abət
abian	abian
abid	abid
abidin	abidin
abilah	abilah
abis	abis
abisal	abisal
abiturien	abiturien
abjad	abdʒad
abjadiah	abdʒadiah
ablasi	ablasi
ablaut	ablaut
abnormal	abnormal
abnormalitas	abnormalitas
abnus	abnus
aboi	aboi
abolisi	abolisi
abon	abon
abonemen	abonəmen
aborsi	aborsi
abortus	abortus
abrak	abraʔ
abrakadabra	abrakadabra
abrar	abrar
abras	abras
abrasi	abrasi
abreaksi	abreaʔsi
abrek	abrəʔ
abreviasi	abreviasi
abrik	abriʔ
abrikos	abrikos
absah	absah
absen	absen
absensi	absensi
absenteisme	absenteismə
abses	abses
absis	absis
absolusi	absolusi
absolut	absolut
absolutisme	absolutismə
absorben	absorben
absorpsi	absorpsi
absorptif	absorptif
abstain	abstain
abstrak	abstraʔ
abstraksi	abstraʔsi
absurd	absurd
abtar	abtar
abu	abu
abuan	abuan
abuh	abuh
abuhan	abuhan
abuk	abuʔ
abul	abul
abulhayat	abulhajat
abun	abun
abur	abur
abus	abus
acah	atʃah
acak	atʃaʔ
acan	atʃan
acang	atʃaŋ
acap	atʃap
acara	atʃara
acaram	atʃaram
acar	atʃar
acatan	atʃatan
acat	atʃat
acau	atʃau
acawi	atʃawi
acerang	atʃəraŋ
acian	atʃian
aci	atʃi
acik	atʃiʔ
aco	atʃo
acuan	atʃuan
acu	atʃu
acuhan	atʃuhan
acuh	atʃuh
acuman	atʃuman
acum	atʃum
acung	atʃuŋ
acungkan	atʃuŋkan
adaan	adaʔan
adab	adab
adad	adad
adagio	adagio
adagium	adagium
adakah	adakah
adakala	adakala
adakan	adakan
adalah	adalah
adalat	adalat
adam	adam
adang	adaŋ
adanya	adaɲa
adap	adap
adaptasi	adaptasi
adaptif	adaptif
adaptor	adaptor
adapun	adapun
adar	adar
adas	adas
adat	adat
adati	adati
adegan	adəgan
adeh	adeh
adekuat	adəkuat
adem	adəm
adempauze	adəmpauzə
adhesi	adhesi
adhesif	adhesif
adib	adib
adibintang	adibintaŋ
adibusana	adibusana
adicita	aditʃita
adidaya	adidaja
adigang	adigaŋ
adiguna	adiguna
adigung	adiguŋ
adika	adika
adik	adiʔ
adikara	adikara
adikarya	adikarja
adikku	adiʔku
adikmu	adiʔmu
adiknya	adiʔɲa
adikodrati	adikodrati
adikong	adikoŋ
adiksi	adiʔsi
adiktif	adiʔtif
adikuasa	adikuasa
adil	adil
adilan	adilan
adiluhung	adiluhuŋ
adimarga	adimarga
adinda	adinda
ading	adiŋ
adipati	adipati
adipenghantar	adipəŋhantar
adipositas	adipositas
adipura	adipura
adiraja	adiradʒa
adiratna	adiratna
adisional	adisional
adisiswa	adisiswa
aditif	aditif
aditokoh	aditokoh
adiwangsa	adiwaŋsa
adiwarna	adiwarna
adiwidia	adiwidia
adjektiva	addʒeʔtiva
administrasi	administrasi
administratif	administratif
administrator	administrator
admiral	admiral
admisi	admisi
adon	adon
adonan	adonan
adopsi	adopsi
adoptif	adoptif
adrenal	adrenal
adrenalin	adrenalin
adres	adres
adsorben	adsorben
adsorpsi	adsorpsi
a'du	aʔdu
adu	adu
aduan	aduan
aduh	aduh
aduhai	aduhai
aduk	aduʔ
adukan	adukan
adun	adun
adunan	adunan
adverbial	adverbial
advertensi	advərtensi
advis	advis
advokasi	advokasi
advokat	advokat
aerasi	aerasi
aerob	aerob
aerobatik	aerobatiʔ
aerobik	aerobiʔ
aerodinamika	aerodinamika
aerogram	aerogram
aerologi	aerologi
aerometer	aerometər
aeromovel	aeromovel
aeronautika	aeronautika
aeronautik	aeronautiʔ
aeroskop	aeroskop
aerosol	aerosol
aerostatika	aerostatika
afal	afal
afdal	afdal
afdeling	afdeliŋ
afdruk	afdruʔ
afek	afeʔ
afeksi	afeʔsi
afektif	afeʔtif
afiat	afiat
afiks	afiʔs
afiksasi	afiʔsasi
afiliasi	afiliasi
afinitas	afinitas
afirmasi	afirmasi
afirmatif	afirmatif
afrikat	afrikat
afrit	afrit
afrodisiak	afrodisiaʔ
afsun	afsun
afwah	afwah
aga	aga
agah	agah
agak	agaʔ
agaknya	agaʔɲa
agal	agal
agama	agama
agam	agam
agamaku	agamaku
agamanya	agamaɲa
agamawan	agamawan
agamawi	agamawi
agami	agami
agan	agan
agar	agar
agas	agas
agen	agen
agenda	agenda
agensi	agensi
agih	agih
agihan	agihan
agio	agio
agitasi	agitasi
agitator	agitator
aglutinasi	aglutinasi
agnostik	agnostiʔ
agnostisisme	agnostisismə
a-go-go	a-go-go
ago-go	ago-go
agraria	agraria
agraris	agraris
agregasi	agregasi
agregat	agregat
agresi	agresi
agresif	agresif
agresivitas	agresivitas
agresor	agresor
agroindustri	agroindustri
agronomi	agronomi
aguk	aguʔ
agul	agul
agun	agun
agunan	agunan
agung	aguŋ
agus	agus
agut	agut
a'had	aʔhad
ahad	ahad
ahadiat	ahadiat
ah	ah
ahimsa	ahimsa
ahkam	ahkam
ahli	ahli
ahlulbait	ahlulbait
ahlulkitab	ahlulkitab
ahlulkubur	ahlulkubur
ahmad	ahmad
ahmak	ahmaʔ
ahmar	ahmar
aho	aho
ahwal	ahwal
aib	aib
aidilfitri	aidilfitri
ain	ain
ainulbanat	ainulbanat
air	air
airi	airi
airmata	airmata
airnya	airɲa
ais	ais
aja	adʒa
ajab	adʒab
ajaib	adʒaib
ajak	adʒaʔ
ajakan	adʒakan
ajal	adʒal
ajang	adʒaŋ
ajar	adʒar
ajaran	adʒaran
ajaranmu	adʒaranmu
ajari	adʒari
ajek	adʒəʔ
ajengan	adʒəŋan
aji	adʒi
ajir	adʒir
ajnabi	adʒnabi
ajnas	adʒnas
ajojing	adʒodʒiŋ
aju	adʒu
ajuan	adʒuan
ajudan	adʒudan
ajujah	adʒudʒah
ajuk	adʒuʔ
ajukan	adʒukan
ajun	adʒun
ajur	adʒur
akad	akad
akademi	akademi
akademik	akademiʔ
akademikus	akademikus
akademis	akademis
akademisi	akademisi
akaid	akaid
ak-ak	ak-aʔ
akak	akaʔ
akal	akal
akalnya	akalɲa
akan	akan
akanan	akanan
akang	akaŋ
akar	akar
akas	akas
akasia	akasia
akaun	akaun
akbar	aʔbar
akhbar	aʔhbar
akhir	aʔhir
akhiran	aʔhiran
akhirat	aʔhirat
akhirnya	aʔhirɲa
akhirulkalam	aʔhirulkalam
akhlak	aʔhlaʔ
akhtaj	aʔhtadʒ
akhwat	aʔhwat
aki	aki
akibat	akibat
akibatnya	akibatɲa
akidah	akidah
akikah	akikah
akik	akiʔ
akil	akil
aklamasi	aʔlamasi
akliah	aʔliah
