angel	aŋel	aŋəl	A	A
apel	apəl	apel	N	V
begar	begar	bəgar	V	A
begu	begu	bəgu	N	N
bekel	bekəl	bekəl	N	N
belek	bəleʔ	beleʔ	V	N
belok	beloʔ	bəloʔ	V	A
bena	bena	bəna	A	N
berak	berak	bərak	V	A
berang	beraŋ	bəraŋ	A	N
berok	beroʔ	bəroʔ	N	N
berpendar	bərpendar	bərpəndar	V	V
berseri	bərsəri	bərseri	V	V
boreh	boreh	borəh	N	N
cegak	tʃegaʔ	tʃəgaʔ	A	A
cela	tʃəla	tʃela	N	N
celak	tʃelaʔ	tʃəlaʔ	N	N
cetok	tʃetoʔ	tʃətoʔ	N	N
debut	debut	dəbut	N	N
dekan	dekan	dəkan	N	N
dendang	dendaŋ	dəndaŋ	N	N
depak	depaʔ	dəpaʔ	V	M
dera	dera	dəra	N	N
embel	embel	əmbəl	N	N
erang	əraŋ	eraŋ	N	A
ganteng	gantəŋ	ganteŋ	A	V
gedek	gədəʔ	gədeʔ	N	V
gelang	gəlaŋ	gelaŋ	N	N
genggang	gəŋgaŋ	geŋgaŋ	N	N
helat	həlat	helat	A	N
jejer	dʒedʒer	dʒədʒər	V	N
jeli	dʒeli	dʒəli	N	A
kecap	ketʃap	kətʃap	N	V
keder	kəder	kedər	N	A
kedi	kedi	kədi	N	N
kekel	kekel	kəkəl	A	N
kelah	kelah	kəlah	V	N
kelentang	kələntaŋ	kəlentaŋ	N	N
kelenteng	kələnteŋ	kəlenteŋ	N	N
kelepak	kələpaʔ	kəlepaʔ	N	A
kelesa	kəlesa	kələsa	A	N
kena	kəna	kena	V	N
kepang	kepaŋ	kəpaŋ	N	N
kepar	kepar	kəpar	N	N
kere	kere	kəre	A	N
keset	kəsət	keset	A	N
ketek	keteʔ	kəteʔ	N	N
ketel	ketel	kətəl	N	A
lebam	lebam	ləbam	N	A
leding	lediŋ	lədiŋ	N	V
legar	legar	ləgar	V	N
lembang	lembaŋ	ləmbaŋ	N	A
lempeng	lempeŋ	ləmpəŋ	A	A
lenggang	leŋgaŋ	ləŋgaŋ	N	A
letak	letaʔ	lətaʔ	A	N
leter	leter	letər	A	N
mejan	medʒan	mədʒan	N	N
memepet	məmepet	məməpet	V	N
memerah	məmerah	məmərah	V	V
mendera	məndera	məndera	V	A
mental	mental	məntal	V	N
pelak	pelak	pəlak	N	A
pelang	pelaŋ	pəlaŋ	N	N
pelat	pəlat	pelat	N	A
pelekat	pələkat	pəlekat	N	N
penggemblengan	pəŋgəmbleŋan	pəŋgəmbləŋan	N	N
pening	pəniŋ	peniŋ	A	N
pentil	pentil	pəntil	N	N
pepet	pepet	pəpət	V	N
per	per	pər	N	P
rebak	rebaʔ	rəbaʔ	A	V
relai	relai	rəlai	V	N
remah	remah	rəmah	N	N
rembes	rembes	rembəs	A	N
samseng	samseŋ	samsəŋ	N	V
seba	seba	səba	V	V
sebat	sebat	səbat	A	V
sedan	sedan	sədan	N	N
sela	səla	sela	N	N
selak	selaʔ	səlaʔ	V	V
selempang	səlempaŋ	sələmpaŋ	N	A
semen	semən	semen	N	N
semi	səmi	semi	N	A
senggang	seŋgaŋ	səŋgaŋ	A	A
sengkang	seŋkaŋ	səŋkaŋ	N	N
sengkelat	səŋkelat	səŋkəlat	A	V
sepak	sepak	səpak	N	N
serak	səraʔ	seraʔ	A	V
serang	səraŋ	seraŋ	V	N
seret	seret	sərət	V	A
seri	seri	səri	N	A
sertu	sertu	sərtu	N	V
tekek	təkeʔ	tekeʔ	N	V
teken	təkən	tekən	V	V
tela	tela	təla	N	N
telan	telan	təlan	N	V
teleng	teleŋ	tələŋ	A	N
telor	təlor	telor	N	A
tepak	tepaʔ	təpaʔ	N	N
tepok	təpoʔ	tepoʔ	V	A
terapi	terapi	tərapi	N	A
teras	teras	təras	N	N
