a	a
b	b e
c	tʃ e
d	d e
e	e
f	e f
g	ɡ e
h	h a
i	i
j	dʒ e
k	k a
l	e l
m	e m
n	e n
o	o
p	p e
q	k i
r	e r
s	e s
t	t e
u	u
v	v e
w	w e
x	e k s
y	j e
z	z e t
--nya	- - ɲ a
-anda	- a n d a
-baur	- b a u r
-belas	- b ə l a s
-compeng	- tʃ o m p e ŋ
-delapan	- d ə l a p a n
-kan	- k a n
-ku	- k u
-lah	- l a h
-lenggang	- l e ŋ ɡ a ŋ
-mahasiswa	- m a h a s i s w a
-nya	- ɲ a
-sedarah	- s ə d a r a h
-sepit	- s ə p i t
-tak	- t a ʔ
-wan	- w a n
-wati	- w a t i
a'bah	a ʔ b a h
a'du	a ʔ d u
a'had	a ʔ h a d
a-go-go	a - ɡ o - ɡ o
ab	a b
ab'ad	a b ʔ a d
aba	a b a
abad	a b a d
abadi	a b a d i
abadiah	a b a d i a h
abadikan	a b a d i k a n
abah	a b a h
abai	a b a i
abaian	a b a i a n
abaikan	a b a i k a n
abaimana	a b a i m a n a
abaka	a b a k a
abakus	a b a k u s
abang	a b a ŋ
abangan	a b a ŋ a n
abangnya	a b a ŋ ɲ a
abar	a b a r
abaran	a b a r a n
abatoar	a b a t o a r
abau	a b a u
abdas	a b d a s
abdi	a b d i
abdikasi	a b d i k a s i
abdomen	a b d o m e n
abdominal	a b d o m i n a l
abdu	a b d u
abece	a b e tʃ e
aben	a b e n
aberasi	a b ə r a s i
abet	a b ə t
abian	a b i a n
abid	a b i d
abidin	a b i d i n
abilah	a b i l a h
abis	a b i s
abisal	a b i s a l
abiturien	a b i t u r i e n
abjad	a b dʒ a d
abjadiah	a b dʒ a d i a h
ablasi	a b l a s i
ablaut	a b l a u t
abnormal	a b n o r m a l
abnormalitas	a b n o r m a l i t a s
abnus	a b n u s
aboi	a b o i
abolisi	a b o l i s i
abon	a b o n
abonemen	a b o n ə m e n
aborsi	a b o r s i
abortus	a b o r t u s
abrak	a b r a ʔ
abrakadabra	a b r a k a d a b r a
abrar	a b r a r
abras	a b r a s
abrasi	a b r a s i
abreaksi	a b r e a ʔ s i
abrek	a b r ə ʔ
abreviasi	a b r e v i a s i
abrik	a b r i ʔ
abrikos	a b r i k o s
absah	a b s a h
absen	a b s e n
absensi	a b s e n s i
absenteisme	a b s e n t e i s m ə
abses	a b s e s
absis	a b s i s
absolusi	a b s o l u s i
absolut	a b s o l u t
absolutisme	a b s o l u t i s m ə
absorben	a b s o r b e n
absorpsi	a b s o r p s i
absorptif	a b s o r p t i f
abstain	a b s t a i n
abstrak	a b s t r a ʔ
abstraksi	a b s t r a ʔ s i
absurd	a b s u r d
abtar	a b t a r
abu	a b u
abuan	a b u a n
abuh	a b u h
abuhan	a b u h a n
